Employee_Name,EmpID,MarriedID,GenderID,DeptID,New PayRate (hour),PositionID,State,DOB,DateofHire,DateofTermination,TermReason,EmploymentStatus,ManagerID,RecruitmentSource,PerformanceScore,EmpSatisfaction,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,PerformanceScore_Norm,PerformanceScore_Scaled,EmpSatisfaction_Scaled,Tenure,Age,AgeGroup
" Gill, Ellie     ",9096300333,0,1,6,55.0,3,IN,1963-08-28,2011-06-09,,N/A - still employed,Active,21,Monster.com,Fully Meets,5,7927,4852,17551,12328,9189,17440,4949,6590,10245,12178,16149,13639,3,0.6666666666666666,1.0,13.271232876712329,61,60-69
" Kerr, Rayne     ",9013120332,0,0,6,55.0,3,CA,1988-11-08,2011-10-01,,N/A - still employed,Active,21,Monster.com,Exceeds,3,16268,2895,5096,15043,13187,13808,14990,16891,19763,1488,15461,17082,4,1.0,0.5,12.95890410958904,35,30-39
" Mcbride, Samara     ",9038030331,0,1,6,55.0,3,CA,1975-07-07,2014-09-29,,N/A - still employed,Active,21,Other,Exceeds,5,17939,3638,16474,9946,7803,3615,17096,6450,18014,14938,14149,4276,4,1.0,1.0,9.961643835616439,49,40-49
" Sutton, Colt     ",9058260330,1,1,6,55.0,3,MA,1989-07-11,2012-05-03,,N/A - still employed,Active,17,Employee Referral,Exceeds,5,6309,9553,5300,4930,14933,9806,12535,2324,4036,10000,18800,4046,4,1.0,1.0,12.36986301369863,35,30-39
" Prince, Madalyn     ",9081160329,1,1,6,56.0,3,AZ,1991-05-23,2011-05-07,,N/A - still employed,Active,17,Other,Fully Meets,4,8908,2828,8149,10663,14732,4861,3115,13280,5533,15061,18117,19729,3,0.6666666666666666,0.75,13.361643835616439,33,30-39
" Stewart, Clara     ",9054780328,1,1,6,55.0,3,AZ,1989-05-12,2010-09-27,,N/A - still employed,Active,17,Other,Fully Meets,4,19880,12856,7039,2576,15604,17405,16125,5795,1684,6626,15225,1999,3,0.6666666666666666,0.75,13.96986301369863,35,30-39
" Herman, Cheyenne     ",9017220327,1,0,6,55.0,3,NC,1982-05-19,2015-05-01,,N/A - still employed,Active,17,Professional Society,Fully Meets,4,19824,17624,17373,19243,18558,5259,11415,8867,9254,4013,11338,18168,3,0.6666666666666666,0.75,9.375342465753425,42,40-49
" Zavala, Emerson     ",9032440326,0,1,6,55.0,3,NC,1975-11-02,2014-09-29,,N/A - still employed,Active,17,Website Banner Ads,Fully Meets,5,4365,15482,15468,2907,12557,7645,6174,7085,3205,5709,17695,16112,3,0.6666666666666666,1.0,9.961643835616439,48,40-49
" Oneal, Sawyer     ",9056050325,0,1,6,55.0,3,AL,1988-12-27,2012-04-30,,N/A - still employed,Active,17,Internet Search,Fully Meets,3,5476,12576,11557,1079,16680,6069,15379,9480,17210,4303,6100,19761,3,0.6666666666666666,0.5,12.378082191780821,35,30-39
" Mathis, Kyleigh     ",9048350324,0,1,6,55.0,3,TN,1969-02-09,2011-07-03,,N/A - still employed,Active,17,Newspager/Magazine,Fully Meets,3,16034,17514,7980,8285,16195,19581,4464,2254,4642,13614,9415,9124,3,0.6666666666666666,0.5,13.205479452054794,55,50-59
" Mcdowell, Maximus     ",9054500323,1,1,6,55.0,3,ID,1954-10-12,2014-12-05,,N/A - still employed,Active,17,Newspager/Magazine,Fully Meets,3,16136,13045,18434,11992,17485,8009,19863,8360,16720,4760,11905,7348,3,0.6666666666666666,0.5,9.778082191780822,69,60-69
" Little, Dean     ",9078100322,1,1,6,55.0,3,ID,1971-07-10,2014-07-07,,N/A - still employed,Active,17,Monster.com,Fully Meets,5,6269,13407,19492,10659,3933,14447,1755,9961,14486,16271,7219,2955,3,0.6666666666666666,1.0,10.191780821917808,53,50-59
" Herrera, Martin     ",9005030321,0,1,6,55.0,3,NY,1969-02-24,2011-07-03,,N/A - still employed,Active,17,Diversity Job Fair,Fully Meets,4,17048,5821,15510,18719,6748,4583,4374,5966,14086,5629,10666,10841,3,0.6666666666666666,0.75,13.205479452054794,55,50-59
" Briggs, Uriah     ",9037650320,0,1,6,56.0,3,NY,1988-09-14,2014-08-18,,N/A - still employed,Active,17,Diversity Job Fair,Fully Meets,5,9971,2870,10157,14088,15495,6879,17621,13752,11293,19364,10430,14217,3,0.6666666666666666,1.0,10.076712328767123,36,30-39
" Little, Kianna     ",9094390319,1,1,6,55.0,3,WA,1987-05-14,2012-02-20,,N/A - still employed,Active,17,Diversity Job Fair,Poor,5,5710,6632,19990,7512,13976,13324,15662,3180,10873,10066,11023,15901,1,0.0,1.0,12.56986301369863,37,30-39
" Kirk, David     ",9052900318,0,0,6,55.0,3,WA,1963-05-15,2014-08-18,,N/A - still employed,Active,17,Website Banner Ads,Poor,5,5498,6760,10223,1575,17528,18667,3667,13157,3935,12298,2489,9905,1,0.0,1.0,10.076712328767123,61,60-69
" Bryant, Alexandra     ",9031970317,0,0,6,55.0,3,VT,1964-06-01,2011-08-15,,N/A - still employed,Active,17,Social Networks - Facebook Twitter etc,Poor,5,5964,4870,3548,8005,3601,7897,11848,8644,7733,13072,3225,11017,1,0.0,1.0,13.087671232876712,60,60-69
" Jensen, Denzel     ",9073820316,1,0,6,55.0,2,MA,1987-06-14,2011-09-26,2013-09-25,career change,Voluntarily Terminated,17,Diversity Job Fair,Fully Meets,4,17473,13373,11893,4695,3274,19869,5621,14540,8439,17117,8710,5732,3,0.6666666666666666,0.75,2.0,37,30-39
" Figueroa, Mallory     ",9093980315,0,0,6,55.0,2,MA,1988-05-19,2015-01-05,,N/A - still employed,Active,1,Diversity Job Fair,Fully Meets,4,9389,9513,6947,12512,19866,10974,19937,18683,10798,17573,17999,16680,3,0.6666666666666666,0.75,9.693150684931506,36,30-39
" Rivas, Konnor     ",9047960313,1,0,1,25.8,1,MA,1986-09-01,2014-09-29,,N/A - still employed,Active,1,Pay Per Click - Google,Fully Meets,3,5056,12985,17173,14775,13459,8444,6623,17196,15116,11756,2973,3784,3,0.6666666666666666,0.5,9.961643835616439,38,30-39
" Yu, Fernanda     ",9000360312,1,1,1,29.0,1,MA,1984-04-26,2014-06-01,,N/A - still employed,Active,1,Internet Search,Fully Meets,5,5410,19598,19082,17256,18409,14060,5628,2048,5858,12712,5487,12971,3,0.6666666666666666,1.0,10.29041095890411,40,40-49
" Paul, Solomon     ",9007640311,0,1,1,29.0,1,MA,1987-11-24,2008-10-27,,N/A - still employed,Active,1,Diversity Job Fair,Fully Meets,4,11452,14470,7005,13524,3895,19853,1937,10712,16126,12312,4702,1111,3,0.6666666666666666,0.75,15.887671232876713,36,30-39
" Young, Emiliano     ",9079760310,0,0,3,55.2,28,MA,1978-05-02,2015-03-30,,N/A - still employed,Active,1,Employee Referral,Fully Meets,4,8080,15712,8655,6205,13446,10951,17197,16000,17287,13116,15310,9867,3,0.6666666666666666,0.75,9.463013698630137,46,40-49
" Juarez, Giancarlo     ",9085200309,0,0,3,55.2,28,MA,1965-09-09,2014-10-11,,N/A - still employed,Active,7,Employee Referral,Fully Meets,3,18143,13936,10931,3904,12402,12312,2528,4616,9307,9473,4486,7183,3,0.6666666666666666,0.5,9.92876712328767,59,50-59
" Zuniga, Walter     ",9032900308,1,1,3,53.8,28,CT,1983-02-09,2016-06-30,,N/A - Has not started yet,Future Start,7,Employee Referral,Fully Meets,4,2759,2819,15819,2399,13820,6625,17280,16975,16961,18301,10701,13922,3,0.6666666666666666,0.75,8.208219178082192,41,40-49
" Jordan, Anna     ",9047220307,1,1,3,56.2,28,MA,1986-04-23,2014-10-11,,N/A - still employed,Leave of Absence,7,On-campus Recruiting,Fully Meets,4,8809,5475,12966,3515,16784,19861,13238,5764,10412,19052,13386,8645,3,0.6666666666666666,0.75,9.92876712328767,38,30-39
" Gamble, Jeffery     ",9006290306,1,0,3,54.1,28,MA,1952-01-18,2014-10-11,,N/A - still employed,Leave of Absence,7,Vendor Referral,Fully Meets,5,13714,16842,17379,9738,2065,9573,17250,5365,17307,17749,4883,15909,3,0.6666666666666666,1.0,9.92876712328767,72,
" Hanna, Jaelynn     ",9094650305,0,0,3,58.5,29,MA,1973-05-27,2015-05-01,,N/A - still employed,Leave of Absence,4,Vendor Referral,Fully Meets,3,4218,12232,1941,3527,1997,16826,10589,9139,19351,17083,11270,16491,3,0.6666666666666666,0.5,9.375342465753425,51,50-59
" Preston, Jazlene     ",9065460304,0,0,3,58.2,30,CT,1964-07-30,2014-02-17,2016-02-19,hours,Voluntarily Terminated,4,Vendor Referral,Fully Meets,5,12821,19392,12371,16032,12811,12376,2347,4950,7985,4147,1725,9035,3,0.6666666666666666,1.0,2.0054794520547947,60,60-69
" Garrett, Lyla     ",9031460303,0,0,3,61.3,27,MA,1986-06-06,2016-06-30,,N/A - Has not started yet,Future Start,4,Vendor Referral,Fully Meets,5,14993,5330,12340,19185,17762,17360,19492,9965,18590,2529,12286,17577,3,0.6666666666666666,1.0,8.208219178082192,38,30-39
" Ballard, Georgia     ",9053070302,0,1,3,61.3,27,MA,1975-05-05,2015-03-30,,N/A - still employed,Future Start,4,Company Intranet - Partner,Fully Meets,3,3088,17828,18814,16815,18165,13402,15547,7529,12409,2606,1673,17886,3,0.6666666666666666,0.5,9.463013698630137,49,40-49
" Ellis, Mason     ",9065810301,1,0,1,62.0,26,MA,1987-04-04,2015-02-16,2015-10-31,relocation out of area,Voluntarily Terminated,3,Diversity Job Fair,Fully Meets,4,3741,18770,3758,10534,6360,17487,13288,3488,9930,11943,6413,6528,3,0.6666666666666666,0.75,0.7041095890410959,37,30-39
" Moore, Athena     ",9017380300,1,0,1,34.95,26,MA,1979-04-16,2009-05-01,,N/A - still employed,Active,3,Other,Fully Meets,3,11596,14893,13984,15741,1733,19807,10397,14333,2998,2026,5240,12663,3,0.6666666666666666,0.5,15.378082191780821,45,40-49
" Bradley, Elisabeth     ",9054000299,0,1,4,27.0,25,MA,1966-11-22,2011-08-15,,N/A - still employed,Active,5,Search Engine - Google Bing Yahoo,Fully Meets,3,4216,7938,1510,3116,16142,7814,15673,13017,19432,17689,13463,3250,3,0.6666666666666666,0.5,13.087671232876712,57,50-59
" Porter, Armani     ",9027240298,0,1,4,45.42,24,MA,1983-06-14,2013-02-18,2014-04-15,medical issues,Voluntarily Terminated,10,Diversity Job Fair,Fully Meets,3,10234,1140,2686,10079,14418,7450,16968,15367,8194,10606,2337,19338,3,0.6666666666666666,0.5,1.1534246575342466,41,40-49
" Sanders, Taylor     ",9017600297,0,1,4,48.0,24,MA,1983-05-06,2014-07-07,,N/A - still employed,Active,10,Diversity Job Fair,Fully Meets,5,15896,14211,8182,4264,19380,6366,4480,13985,6688,13281,11295,15978,3,0.6666666666666666,1.0,10.191780821917808,41,40-49
" Randall, Iliana     ",9014460296,0,0,4,49.25,24,MA,1986-07-24,2012-05-11,,N/A - still employed,Active,10,Pay Per Click - Google,Exceeds,3,3212,16145,18452,8961,10769,9945,11206,1284,11283,11196,10863,19683,4,1.0,0.5,12.347945205479451,38,30-39
" Henderson, Luke     ",9010750295,1,1,4,52.25,24,MA,1979-02-20,2011-07-11,2015-07-09,Another position,Voluntarily Terminated,10,Diversity Job Fair,Exceeds,3,16319,16556,10552,8796,19874,9942,11355,4227,7982,17191,15993,10305,4,1.0,0.5,3.9972602739726026,45,40-49
" Lambert, Madelyn     ",9093920294,0,1,4,55.51,24,MA,1987-11-07,2013-11-11,,N/A - still employed,Active,10,Diversity Job Fair,Fully Meets,5,11551,17666,7550,9447,1666,17274,11169,9996,3644,7478,7117,9038,3,0.6666666666666666,1.0,10.843835616438357,36,30-39
" Pace, Ava     ",9055430293,0,0,4,48.5,24,MA,1987-05-15,2011-02-05,,N/A - still employed,Active,10,Billboard,Fully Meets,5,12383,13204,7668,8632,18126,16933,2989,14009,1817,16354,6771,4234,3,0.6666666666666666,1.0,13.610958904109589,37,30-39
" Bruce, Delaney     ",9088020292,0,0,4,57.12,24,MA,1979-07-05,2012-09-01,,N/A - still employed,Active,10,Billboard,Needs Improvement,5,6628,12728,15664,7783,13923,5144,19566,10385,5702,5283,10898,16879,2,0.3333333333333333,1.0,12.038356164383561,45,40-49
" Bullock, Jair     ",9031600291,0,0,4,57.12,24,MA,1987-04-05,2013-11-11,,N/A - still employed,Active,10,Pay Per Click - Google,Fully Meets,4,17908,13845,12044,16184,9605,14433,4856,14202,9768,1705,17927,18284,3,0.6666666666666666,0.75,10.843835616438357,37,30-39
" Farrell, Kayla     ",9009290290,0,0,4,47.6,24,MA,1979-05-24,2014-10-11,,N/A - still employed,Active,10,Pay Per Click - Google,Fully Meets,3,15013,8020,6002,13244,17937,5810,11819,17944,18977,14784,16664,15592,3,0.6666666666666666,0.5,9.92876712328767,45,40-49
" Gamble, Taylor     ",9003620289,1,0,4,55.0,23,MA,1984-11-06,2011-02-21,2015-08-15,career change,Voluntarily Terminated,10,Diversity Job Fair,Fully Meets,4,2414,4020,6932,2531,11217,19081,15606,15360,1787,7757,11420,8162,3,0.6666666666666666,0.75,4.482191780821918,39,30-39
" Haas, Tucker     ",9060240288,1,1,1,55.0,23,MA,1984-06-10,2016-05-01,,N/A - still employed,Active,2,Diversity Job Fair,Fully Meets,4,13123,17379,15239,4211,16309,9123,13514,2160,17478,13730,1560,18611,3,0.6666666666666666,0.75,8.372602739726027,40,40-49
" Christian, Jaiden     ",9026940287,0,1,3,55.0,22,MA,1981-07-08,2017-02-15,,N/A - still employed,Active,13,Monster.com,Fully Meets,4,16521,10020,8799,16738,3934,3404,3469,6695,16470,5125,5417,2822,3,0.6666666666666666,0.75,7.578082191780822,43,40-49
" Odonnell, Elliott     ",9071240286,0,1,3,52.25,22,MA,1970-04-25,2017-10-02,,N/A - still employed,Active,13,Indeed,Fully Meets,4,2465,1459,12436,3746,14025,8021,1221,6150,11676,6144,18017,3679,3,0.6666666666666666,0.75,6.950684931506849,54,50-59
" Dillon, Ronnie     ",9064860285,0,0,3,50.25,22,MA,1987-06-14,2016-02-10,,N/A - still employed,Active,13,Indeed,Fully Meets,5,12828,18867,17217,15648,12439,13457,9241,17875,17282,19200,10231,5048,3,0.6666666666666666,1.0,8.594520547945205,37,30-39
" Saunders, Gideon     ",9088980284,0,0,6,50.25,21,MA,1984-08-16,2014-05-18,,N/A - still employed,Active,13,Diversity Job Fair,Needs Improvement,5,17116,9654,6632,1232,15885,9532,5497,8774,10648,13773,19128,11105,2,0.3333333333333333,1.0,10.32876712328767,40,40-49
" Copeland, Lindsay     ",9029730283,0,0,6,60.25,21,MA,1989-11-11,2011-07-11,2014-04-24,maternity leave - did not return,Voluntarily Terminated,15,Diversity Job Fair,Needs Improvement,4,12829,18643,2333,4930,5060,17145,12327,11366,7406,3400,9281,11085,2,0.3333333333333333,0.75,2.789041095890411,34,30-39
" Mccarty, Kristin     ",9002590282,0,0,6,54.0,21,PA,1990-04-19,2014-05-05,2014-04-09,Another position,Voluntarily Terminated,15,Social Networks - Facebook Twitter etc,Fully Meets,4,10926,14526,1892,4216,1659,11621,17667,5408,17560,10441,16520,15640,3,0.6666666666666666,0.75,-0.07123287671232877,34,30-39
" Middleton, Reagan     ",9020450281,0,0,5,27.599999999999998,20,MA,1975-09-16,2007-06-25,2010-08-30,military,Voluntarily Terminated,39,Pay Per Click - Google,Fully Meets,4,8048,2556,2715,16860,5235,11603,12697,2397,1797,5579,19802,8825,3,0.6666666666666666,0.75,3.1835616438356165,49,40-49
" Morgan, Jaxson     ",9047670280,1,1,5,25.0,20,MA,1952-02-11,2012-05-14,2013-08-19,unhappy,Voluntarily Terminated,39,Newspager/Magazine,Fully Meets,4,10647,15782,15426,4593,2083,9716,13295,19563,11862,11998,8184,15391,3,0.6666666666666666,0.75,1.2657534246575342,72,
" Strickland, Aryanna     ",9099010279,1,0,5,27.599999999999998,20,MA,1976-08-25,2016-11-05,,N/A - Has not started yet,Future Start,0,Vendor Referral,Fully Meets,3,8783,15990,12985,10323,5597,2873,7554,2223,4104,12080,5080,2761,3,0.6666666666666666,0.5,7.857534246575343,48,40-49
" Suarez, Vanessa     ",9019400278,0,0,5,33.6,20,MA,1992-05-07,2015-05-06,,N/A - Has not started yet,Future Start,0,Vendor Referral,Fully Meets,3,1446,7517,7010,7612,14910,1527,2082,6294,6745,13002,7108,6278,3,0.6666666666666666,0.5,9.361643835616439,32,30-39
" Cooke, Sterling     ",9063200277,0,0,5,28.799999999999997,20,MA,1987-09-27,2014-02-17,,N/A - still employed,Future Start,0,Newspager/Magazine,Fully Meets,4,18561,15389,14472,5710,8542,12410,4035,5366,13201,18668,13743,8666,3,0.6666666666666666,0.75,10.575342465753424,36,30-39
" Salazar, Carter     ",9075620276,0,1,5,22.0,20,MA,1983-07-28,2014-09-29,,N/A - still employed,Active,0,Newspager/Magazine,Fully Meets,4,17909,7082,3061,15383,11650,19688,14392,3333,10276,17841,11435,1928,3,0.6666666666666666,0.75,9.961643835616439,41,40-49
" Gibson, Joshua     ",9000690275,0,0,5,27.599999999999998,20,MA,1987-11-25,2009-10-26,,N/A - still employed,Active,22,Monster.com,Fully Meets,4,7244,13736,8099,7687,9175,2752,10173,19356,16152,11097,19719,13412,3,0.6666666666666666,0.75,14.89041095890411,36,30-39
" Bauer, Kyleigh     ",9075930274,0,0,5,34.8,20,MA,1974-12-01,2013-05-13,2014-05-17,relocation out of area,Voluntarily Terminated,22,Monster.com,Fully Meets,4,11283,10549,6001,15944,6027,7342,4386,10558,18658,14685,16050,8701,3,0.6666666666666666,0.75,1.010958904109589,49,40-49
" Schultz, Ramon     ",9008650273,0,0,5,28.799999999999997,20,MA,1976-12-26,2013-08-07,2013-09-15,more money,Voluntarily Terminated,22,On-campus Recruiting,Fully Meets,4,9972,9811,14378,12826,19104,5059,4481,11332,14104,9488,12910,1084,3,0.6666666666666666,0.75,0.10684931506849316,47,40-49
" Houston, Maxim     ",9042810272,0,0,5,33.6,20,MA,1984-02-16,2011-08-15,2012-07-04,relocation out of area,Voluntarily Terminated,30,On-campus Recruiting,Fully Meets,5,14990,18342,13817,18923,9511,10433,18378,15746,15408,4552,11128,5055,3,0.6666666666666666,1.0,0.8876712328767123,40,40-49
" Sellers, Deanna     ",9082300271,0,0,5,33.6,20,MA,1989-08-25,2014-07-07,,N/A - still employed,Active,22,Glassdoor,Fully Meets,5,13398,13380,5000,14673,14859,1685,8837,10276,1059,3140,5070,11826,3,0.6666666666666666,1.0,10.191780821917808,35,30-39
" Figueroa, Frankie     ",9026820270,0,0,5,32.4,20,MA,1990-09-21,2011-04-04,,N/A - still employed,Active,22,Monster.com,Needs Improvement,3,13344,1768,4648,1356,9241,9991,19724,3574,5952,10694,13607,13390,2,0.3333333333333333,0.5,13.452054794520548,34,30-39
" Sanders, Kamila     ",9015830269,0,0,5,29.099999999999998,20,MA,1985-05-11,2014-07-07,,N/A - still employed,Active,20,Vendor Referral,Fully Meets,4,10689,5796,6507,1226,14007,16820,9356,4643,8740,4751,2202,17371,3,0.6666666666666666,0.75,10.191780821917808,39,30-39
" Mcguire, Rose     ",9063390268,1,1,5,22.0,20,MA,1972-07-03,2011-05-07,2012-08-02,Another position,Voluntarily Terminated,20,Vendor Referral,Fully Meets,5,5960,8399,1008,7418,5161,14680,2192,15237,3901,3504,1956,13010,3,0.6666666666666666,1.0,1.2410958904109588,52,50-59
" Zavala, Brenton     ",9005690267,1,1,5,25.0,20,MA,1970-04-24,2013-05-13,,N/A - still employed,Active,20,Glassdoor,Exceeds,5,14982,8115,16510,1467,19226,9772,4018,13389,15957,4108,10218,15442,4,1.0,1.0,11.342465753424657,54,50-59
" Klein, Laci     ",9034270266,1,1,5,28.0,20,MA,1984-05-09,2012-02-04,2013-04-15,more money,Voluntarily Terminated,20,Billboard,Exceeds,3,7498,9621,9597,18509,16760,16239,19512,17535,7786,17582,1768,9084,4,1.0,0.5,1.1945205479452055,40,40-49
" Boone, Brenda     ",9057060265,1,0,5,32.4,20,MA,1983-12-08,2013-09-30,,N/A - still employed,Leave of Absence,20,Word of Mouth,Fully Meets,3,1472,13021,16556,3744,14857,3655,16564,19259,18742,18903,19538,14332,3,0.6666666666666666,0.5,10.95890410958904,40,40-49
" Walters, Andrea     ",9012370264,0,0,5,30.0,20,MA,1979-09-14,2011-07-11,,N/A - still employed,Leave of Absence,20,Newspager/Magazine,Fully Meets,4,6608,19175,5926,19963,13408,12651,10546,9778,8899,2915,2780,13894,3,0.6666666666666666,0.75,13.183561643835617,45,40-49
" Matthews, Jovanny     ",9002330263,0,0,5,34.8,20,MA,1988-09-19,2011-05-07,2012-09-24,hours,Voluntarily Terminated,20,Newspager/Magazine,Fully Meets,4,3619,12794,7786,17767,1614,5748,15592,2191,14786,15531,8312,8737,3,0.6666666666666666,0.75,1.3863013698630138,36,30-39
" Leon, Wayne     ",9038120262,1,0,5,26.4,20,MA,1976-02-10,2014-08-18,2016-05-25,relocation out of area,Voluntarily Terminated,19,Newspager/Magazine,Fully Meets,5,16045,9348,2558,7570,10358,1566,6470,5468,1145,2222,14893,15712,3,0.6666666666666666,1.0,1.7698630136986302,48,40-49
" Armstrong, Amya     ",9034240261,1,1,5,29.0,20,MA,1986-08-17,2011-05-16,,N/A - still employed,Active,19,Pay Per Click - Google,Fully Meets,5,15732,16023,11787,9362,16379,12650,13568,12652,12401,17311,6398,17295,3,0.6666666666666666,1.0,13.336986301369864,38,30-39
" Whitehead, Johnny     ",9017070260,0,0,5,31.2,20,MA,1987-05-21,2015-03-30,2016-02-21,performance,Voluntarily Terminated,19,Newspager/Magazine,Fully Meets,5,3563,16770,7322,9918,2169,17628,19787,1020,1783,9978,2977,6833,3,0.6666666666666666,1.0,0.8986301369863013,37,30-39
" Clayton, Antwan     ",9065610259,0,0,5,27.0,20,MA,1986-11-06,2011-05-07,,N/A - still employed,Active,19,Newspager/Magazine,Exceeds,4,6357,3189,3895,16250,15639,2061,3497,19403,1286,9591,7764,3356,4,1.0,0.75,13.361643835616439,37,30-39
" Preston, Dexter     ",9032240258,1,0,5,28.799999999999997,20,MA,1983-11-08,2011-04-04,2012-09-01,career change,Voluntarily Terminated,19,Word of Mouth,Fully Meets,3,14740,2428,8807,14978,7914,17120,16284,14602,18460,11979,14013,19515,3,0.6666666666666666,0.5,1.4136986301369863,40,40-49
" Guerrero, Uriah     ",9090710257,1,1,5,24.0,20,MA,1977-08-19,2011-04-04,2015-12-09,career change,Voluntarily Terminated,19,Careerbuilder,Fully Meets,3,8850,8711,16795,16467,2184,7506,13041,9991,18822,7634,14364,7097,3,0.6666666666666666,0.5,4.684931506849315,47,40-49
" Waller, Dahlia     ",9063710256,1,1,5,29.0,20,MA,1986-04-26,2010-08-30,,N/A - still employed,Active,18,Monster.com,Fully Meets,3,9933,9627,9065,15337,15703,5979,4221,5130,19325,5971,10860,18526,3,0.6666666666666666,0.5,14.046575342465754,38,30-39
" Bradley, Alonzo     ",9092550255,0,1,5,26.0,20,MA,1976-12-03,2012-09-01,,N/A - still employed,Active,18,Monster.com,Fully Meets,4,3255,1054,8532,12071,14412,12470,12227,12557,4401,7136,16558,3788,3,0.6666666666666666,0.75,12.038356164383561,47,40-49
" Soto, Harley     ",9060940254,0,1,5,22.0,20,MA,1979-03-19,2013-08-07,,N/A - still employed,Leave of Absence,18,Diversity Job Fair,Fully Meets,3,15590,2858,10901,8120,10935,6996,18759,17818,11277,18235,2728,3599,3,0.6666666666666666,0.5,11.106849315068493,45,40-49
" Vasquez, Belen     ",9008200253,0,0,5,28.799999999999997,20,MA,1972-08-27,2011-10-01,,hours,Leave of Absence,18,Monster.com,Fully Meets,3,7195,12962,5751,7203,18118,2033,10495,16829,2155,5516,8106,15631,3,0.6666666666666666,0.5,12.95890410958904,52,50-59
" Rocha, Charlize     ",9009200252,0,0,5,28.799999999999997,20,MA,1988-08-10,2013-11-11,2016-02-21,hours,Voluntarily Terminated,18,Newspager/Magazine,Fully Meets,3,5883,2985,14397,14724,5643,2893,9162,13099,1238,5914,14458,6112,3,0.6666666666666666,0.5,2.2794520547945205,36,30-39
" David, Aleena     ",9017950251,0,0,5,34.8,20,MA,1951-02-25,2011-04-04,2015-04-11,more money,Voluntarily Terminated,18,Search Engine - Google Bing Yahoo,Fully Meets,5,6877,7909,14329,10364,3484,11413,16750,8921,14078,19620,8496,13869,3,0.6666666666666666,1.0,4.021917808219178,73,
" Alvarado, Bridger     ",9066810250,1,0,5,32.4,20,MA,1966-04-17,2016-07-21,,N/A - Has not started yet,Future Start,18,Employee Referral,Fully Meets,5,4001,5731,2803,3568,4308,3949,8470,9699,4331,17501,18015,18258,3,0.6666666666666666,1.0,8.150684931506849,58,50-59
" Snyder, Salvatore     ",9066920249,1,0,5,32.4,20,MA,1953-05-24,2011-05-16,2012-08-07,Another position,Voluntarily Terminated,16,Employee Referral,Fully Meets,3,11510,10080,9478,12133,12707,9767,19139,13353,14376,13031,1372,15944,3,0.6666666666666666,0.5,1.2301369863013698,71,
" Hickman, Vivian     ",9057670248,0,1,5,22.0,20,MA,1963-10-30,2014-09-29,,N/A - still employed,Active,16,Pay Per Click - Google,Exceeds,3,5396,19538,14250,10953,12188,14533,11676,14195,7363,9739,18159,18876,4,1.0,0.5,9.961643835616439,60,60-69
" Kirk, Amaris     ",9080480247,0,0,5,31.668,20,MA,1985-11-23,2014-10-11,,N/A - still employed,Active,16,Pay Per Click - Google,Fully Meets,3,11502,8490,5632,17223,7721,4640,9783,13634,5972,17951,15804,11185,3,0.6666666666666666,0.5,9.92876712328767,38,30-39
" York, Grant     ",9022750246,0,0,5,31.668,20,MA,1982-03-28,2013-08-19,,N/A - still employed,Active,16,Glassdoor,Fully Meets,4,3177,10137,17113,17330,3777,12714,4520,10607,13551,18070,17354,13615,3,0.6666666666666666,0.75,11.073972602739726,42,40-49
" Mahoney, Tyree     ",9046680245,0,0,5,30.0,20,MA,1984-03-11,2016-06-06,,N/A - Has not started yet,Future Start,16,Vendor Referral,Fully Meets,5,2626,1721,5021,15474,1728,14057,12038,11151,2627,3140,14045,9126,3,0.6666666666666666,1.0,8.273972602739725,40,40-49
" Horn, Kimberly     ",9021590244,0,0,5,32.4,20,MA,1978-09-22,2014-07-07,,N/A - still employed,Active,16,Vendor Referral,Fully Meets,5,9114,6421,13015,18762,10663,10900,12304,19108,6603,19757,13226,19855,3,0.6666666666666666,1.0,10.191780821917808,46,40-49
" Moreno, Paul     ",9068580243,1,0,5,31.2,20,MA,1967-01-16,2011-10-01,,N/A - still employed,Active,16,Professional Society,Fully Meets,5,9838,8239,18586,5513,19103,2028,13020,16279,6127,17834,17862,6885,3,0.6666666666666666,1.0,12.95890410958904,57,50-59
" Christian, Macey     ",9053050242,0,0,5,26.4,20,MA,1985-04-20,2014-09-29,,N/A - still employed,Active,16,Newspager/Magazine,Fully Meets,5,6315,4097,11634,15566,5693,16683,3546,19098,4832,16274,8446,17521,3,0.6666666666666666,1.0,9.961643835616439,39,30-39
" French, Erica     ",9054410241,0,0,5,31.2,20,MA,1981-09-05,2011-09-26,,N/A - still employed,Active,14,Search Engine - Google Bing Yahoo,Fully Meets,4,5931,10991,1678,13429,15843,2285,15345,10351,10770,11784,13196,10715,3,0.6666666666666666,0.75,12.972602739726028,43,40-49
" Oneal, Damaris     ",9039220240,1,1,5,27.0,20,MA,1992-08-17,2011-07-11,2015-06-27,Another position,Voluntarily Terminated,14,Search Engine - Google Bing Yahoo,Fully Meets,4,10866,9502,18656,19681,14729,16351,10804,13234,6643,7883,2501,8023,3,0.6666666666666666,0.75,3.9643835616438357,32,30-39
" Craig, Rebecca     ",9064610239,0,0,5,26.4,20,MA,1979-07-25,2013-07-01,2014-03-31,Another position,Voluntarily Terminated,14,Glassdoor,Fully Meets,3,12928,8578,14876,14911,2678,9095,10915,3698,11064,6725,19854,11544,3,0.6666666666666666,0.5,0.7479452054794521,45,40-49
